"08518: Arbeidsledige, etter kjønn, alder, kvartal og statistikkvariabel"

"kjønn";"alder";"kvartal";"Arbeidsledige (prosent)"
"Begge kjønn";"15-74 år";"1972K1";1.5
"Begge kjønn";"15-74 år";"1972K2";1.5
"Begge kjønn";"15-74 år";"1972K3";1.8
"Begge kjønn";"15-74 år";"1972K4";1.9
"Begge kjønn";"15-74 år";"1973K1";1.3
"Begge kjønn";"15-74 år";"1973K2";1.6
"Begge kjønn";"15-74 år";"1973K3";1.8
"Begge kjønn";"15-74 år";"1973K4";1.5
"Begge kjønn";"15-74 år";"1974K1";1.3
"Begge kjønn";"15-74 år";"1974K2";1.3
"Begge kjønn";"15-74 år";"1974K3";1.9
"Begge kjønn";"15-74 år";"1974K4";1.3
"Begge kjønn";"15-74 år";"1975K1";1.6
"Begge kjønn";"15-74 år";"1975K2";2.3
"Begge kjønn";"15-74 år";"1975K3";2.7
"Begge kjønn";"15-74 år";"1975K4";2.6
"Begge kjønn";"15-74 år";"1976K1";1.9
"Begge kjønn";"15-74 år";"1976K2";1.9
"Begge kjønn";"15-74 år";"1976K3";1.9
"Begge kjønn";"15-74 år";"1976K4";1.4
"Begge kjønn";"15-74 år";"1977K1";1.3
"Begge kjønn";"15-74 år";"1977K2";1.9
"Begge kjønn";"15-74 år";"1977K3";1.3
"Begge kjønn";"15-74 år";"1977K4";1.3
"Begge kjønn";"15-74 år";"1978K1";1.6
"Begge kjønn";"15-74 år";"1978K2";1.5
"Begge kjønn";"15-74 år";"1978K3";2.3
"Begge kjønn";"15-74 år";"1978K4";1.9
"Begge kjønn";"15-74 år";"1979K1";2.1
"Begge kjønn";"15-74 år";"1979K2";2.1
"Begge kjønn";"15-74 år";"1979K3";2.1
"Begge kjønn";"15-74 år";"1979K4";1.6
"Begge kjønn";"15-74 år";"1980K1";1.5
"Begge kjønn";"15-74 år";"1980K2";1.4
"Begge kjønn";"15-74 år";"1980K3";2.1
"Begge kjønn";"15-74 år";"1980K4";1.6
"Begge kjønn";"15-74 år";"1981K1";1.8
"Begge kjønn";"15-74 år";"1981K2";2.0
"Begge kjønn";"15-74 år";"1981K3";2.4
"Begge kjønn";"15-74 år";"1981K4";1.8
"Begge kjønn";"15-74 år";"1982K1";2.0
"Begge kjønn";"15-74 år";"1982K2";2.4
"Begge kjønn";"15-74 år";"1982K3";2.8
"Begge kjønn";"15-74 år";"1982K4";3.2
"Begge kjønn";"15-74 år";"1983K1";3.6
"Begge kjønn";"15-74 år";"1983K2";3.7
"Begge kjønn";"15-74 år";"1983K3";3.8
"Begge kjønn";"15-74 år";"1983K4";2.6
"Begge kjønn";"15-74 år";"1984K1";3.2
"Begge kjønn";"15-74 år";"1984K2";3.3
"Begge kjønn";"15-74 år";"1984K3";3.6
"Begge kjønn";"15-74 år";"1984K4";2.5
"Begge kjønn";"15-74 år";"1985K1";3.0
"Begge kjønn";"15-74 år";"1985K2";2.3
"Begge kjønn";"15-74 år";"1985K3";3.1
"Begge kjønn";"15-74 år";"1985K4";2.0
"Begge kjønn";"15-74 år";"1986K1";2.0
"Begge kjønn";"15-74 år";"1986K2";1.9
"Begge kjønn";"15-74 år";"1986K3";2.3
"Begge kjønn";"15-74 år";"1986K4";1.7
"Begge kjønn";"15-74 år";"1987K1";2.4
"Begge kjønn";"15-74 år";"1987K2";1.8
"Begge kjønn";"15-74 år";"1987K3";2.2
"Begge kjønn";"15-74 år";"1987K4";1.9
"Begge kjønn";"15-74 år";"1988K1";2.5
"Begge kjønn";"15-74 år";"1988K2";2.9
"Begge kjønn";"15-74 år";"1988K3";3.4
"Begge kjønn";"15-74 år";"1988K4";3.9
"Begge kjønn";"15-74 år";"1989K1";5.0
"Begge kjønn";"15-74 år";"1989K2";4.8
"Begge kjønn";"15-74 år";"1989K3";5.1
"Begge kjønn";"15-74 år";"1989K4";4.8
"Begge kjønn";"15-74 år";"1990K1";5.8
"Begge kjønn";"15-74 år";"1990K2";5.2
"Begge kjønn";"15-74 år";"1990K3";5.3
"Begge kjønn";"15-74 år";"1990K4";4.6
"Begge kjønn";"15-74 år";"1991K1";5.7
"Begge kjønn";"15-74 år";"1991K2";5.2
"Begge kjønn";"15-74 år";"1991K3";5.7
"Begge kjønn";"15-74 år";"1991K4";5.3
"Begge kjønn";"15-74 år";"1992K1";6.2
"Begge kjønn";"15-74 år";"1992K2";5.9
"Begge kjønn";"15-74 år";"1992K3";6.0
"Begge kjønn";"15-74 år";"1992K4";5.4
"Begge kjønn";"15-74 år";"1993K1";6.4
"Begge kjønn";"15-74 år";"1993K2";6.1
"Begge kjønn";"15-74 år";"1993K3";6.2
"Begge kjønn";"15-74 år";"1993K4";5.1
"Begge kjønn";"15-74 år";"1994K1";5.8
"Begge kjønn";"15-74 år";"1994K2";5.8
"Begge kjønn";"15-74 år";"1994K3";5.3
"Begge kjønn";"15-74 år";"1994K4";4.7
"Begge kjønn";"15-74 år";"1995K1";5.7
"Begge kjønn";"15-74 år";"1995K2";5.3
"Begge kjønn";"15-74 år";"1995K3";4.8
"Begge kjønn";"15-74 år";"1995K4";3.8
"Begge kjønn";"15-74 år";"1996K1";5.3
"Begge kjønn";"15-74 år";"1996K2";5.1
"Begge kjønn";"15-74 år";"1996K3";4.8
"Begge kjønn";"15-74 år";"1996K4";4.1
"Begge kjønn";"15-74 år";"1997K1";4.5
"Begge kjønn";"15-74 år";"1997K2";4.5
"Begge kjønn";"15-74 år";"1997K3";4.0
"Begge kjønn";"15-74 år";"1997K4";3.2
"Begge kjønn";"15-74 år";"1998K1";3.5
"Begge kjønn";"15-74 år";"1998K2";3.6
"Begge kjønn";"15-74 år";"1998K3";3.2
"Begge kjønn";"15-74 år";"1998K4";2.6
"Begge kjønn";"15-74 år";"1999K1";3.0
"Begge kjønn";"15-74 år";"1999K2";3.2
"Begge kjønn";"15-74 år";"1999K3";3.3
"Begge kjønn";"15-74 år";"1999K4";3.2
"Begge kjønn";"15-74 år";"2000K1";3.9
"Begge kjønn";"15-74 år";"2000K2";3.3
"Begge kjønn";"15-74 år";"2000K3";3.5
"Begge kjønn";"15-74 år";"2000K4";3.1
"Begge kjønn";"15-74 år";"2001K1";3.7
"Begge kjønn";"15-74 år";"2001K2";3.5
"Begge kjønn";"15-74 år";"2001K3";3.6
"Begge kjønn";"15-74 år";"2001K4";3.3
"Begge kjønn";"15-74 år";"2002K1";4.1
"Begge kjønn";"15-74 år";"2002K2";4.0
"Begge kjønn";"15-74 år";"2002K3";3.8
"Begge kjønn";"15-74 år";"2002K4";3.7
"Begge kjønn";"15-74 år";"2003K1";4.4
"Begge kjønn";"15-74 år";"2003K2";4.7
"Begge kjønn";"15-74 år";"2003K3";4.7
"Begge kjønn";"15-74 år";"2003K4";4.2
"Begge kjønn";"15-74 år";"2004K1";4.5
"Begge kjønn";"15-74 år";"2004K2";4.6
"Begge kjønn";"15-74 år";"2004K3";4.6
"Begge kjønn";"15-74 år";"2004K4";4.1
"Begge kjønn";"15-74 år";"2005K1";4.6
"Begge kjønn";"15-74 år";"2005K2";4.8
"Begge kjønn";"15-74 år";"2005K3";4.8
"Begge kjønn";"15-74 år";"2005K4";4.1
"Begge kjønn";"15-74 år";"2006K1";4.0
"Begge kjønn";"15-74 år";"2006K2";4.0
"Begge kjønn";"15-74 år";"2006K3";3.3
"Begge kjønn";"15-74 år";"2006K4";2.4
"Begge kjønn";"15-74 år";"2007K1";2.7
"Begge kjønn";"15-74 år";"2007K2";2.7
"Begge kjønn";"15-74 år";"2007K3";2.5
"Begge kjønn";"15-74 år";"2007K4";2.1
"Begge kjønn";"15-74 år";"2008K1";2.5
"Begge kjønn";"15-74 år";"2008K2";2.9
"Begge kjønn";"15-74 år";"2008K3";2.8
"Begge kjønn";"15-74 år";"2008K4";2.7
"Begge kjønn";"15-74 år";"2009K1";3.1
"Begge kjønn";"15-74 år";"2009K2";3.6
"Begge kjønn";"15-74 år";"2009K3";3.2
"Begge kjønn";"15-74 år";"2009K4";3.1
"Begge kjønn";"15-74 år";"2010K1";4.0
"Begge kjønn";"15-74 år";"2010K2";4.1
"Begge kjønn";"15-74 år";"2010K3";3.6
"Begge kjønn";"15-74 år";"2010K4";3.4
"Begge kjønn";"15-74 år";"2011K1";3.4
"Begge kjønn";"15-74 år";"2011K2";3.6
"Begge kjønn";"15-74 år";"2011K3";3.3
"Begge kjønn";"15-74 år";"2011K4";3.2
"Begge kjønn";"15-74 år";"2012K1";3.3
"Begge kjønn";"15-74 år";"2012K2";3.4
"Begge kjønn";"15-74 år";"2012K3";3.2
"Begge kjønn";"15-74 år";"2012K4";3.3
"Begge kjønn";"15-74 år";"2013K1";3.8
"Begge kjønn";"15-74 år";"2013K2";3.9
"Begge kjønn";"15-74 år";"2013K3";3.8
"Begge kjønn";"15-74 år";"2013K4";3.6
"Begge kjønn";"15-74 år";"2014K1";3.7
"Begge kjønn";"15-74 år";"2014K2";3.4
"Begge kjønn";"15-74 år";"2014K3";3.8
"Begge kjønn";"15-74 år";"2014K4";3.6
"Begge kjønn";"15-74 år";"2015K1";4.4
"Begge kjønn";"15-74 år";"2015K2";4.5
"Begge kjønn";"15-74 år";"2015K3";4.6
"Begge kjønn";"15-74 år";"2015K4";4.6
"Begge kjønn";"15-74 år";"2016K1";5.1
"Begge kjønn";"15-74 år";"2016K2";4.8
"Begge kjønn";"15-74 år";"2016K3";4.8
"Begge kjønn";"15-74 år";"2016K4";4.2
"Begge kjønn";"15-74 år";"2017K1";4.4
"Begge kjønn";"15-74 år";"2017K2";4.5
"Begge kjønn";"15-74 år";"2017K3";4.1
"Begge kjønn";"15-74 år";"2017K4";3.8
"Begge kjønn";"15-74 år";"2018K1";4.0
"Begge kjønn";"15-74 år";"2018K2";3.9
"Begge kjønn";"15-74 år";"2018K3";4.0
"Begge kjønn";"15-74 år";"2018K4";3.5
"Begge kjønn";"15-74 år";"2019K1";3.9
"Begge kjønn";"15-74 år";"2019K2";3.4
"Begge kjønn";"15-74 år";"2019K3";3.8
"Begge kjønn";"15-74 år";"2019K4";3.8
"Begge kjønn";"15-74 år";"2020K1";3.6
"Begge kjønn";"15-74 år";"2020K2";4.6
"Begge kjønn";"15-74 år";"2020K3";5.4
"Begge kjønn";"15-74 år";"2020K4";4.8
"Begge kjønn";"15-74 år";"2021K1";5.0
"Begge kjønn";"15-74 år";"2021K2";5.1
"Begge kjønn";"15-74 år";"2021K3";4.2
"Begge kjønn";"15-74 år";"2021K4";3.4
"Begge kjønn";"15-74 år";"2022K1";3.3
"Begge kjønn";"15-74 år";"2022K2";3.3
"Begge kjønn";"15-74 år";"2022K3";3.2
"Begge kjønn";"15-74 år";"2022K4";3.1
"Begge kjønn";"15-74 år";"2023K1";3.7
"Begge kjønn";"15-74 år";"2023K2";3.5
"Begge kjønn";"15-74 år";"2023K3";3.6
"Begge kjønn";"15-74 år";"2023K4";3.6
"Begge kjønn";"15-74 år";"2024K1";4.0
"Begge kjønn";"15-74 år";"2024K2";4.3
"Begge kjønn";"15-74 år";"2024K3";3.9
"Begge kjønn";"15-74 år";"2024K4";3.8
"Begge kjønn";"15-74 år";"2025K1";4.1
